"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"Desafinado (Original)","Antonio-Carlos Jobim","","Bossa Nova","E","","","0","0","[*AT44E^7 |x |F#7#11 |x |F#-7 |B7 |G#h7 |C#7b9 |F#-7 |G#7b9 |C#7 |C#7b9 |F#7b9 |x |F^7 |x ][*AE^7 |x |F#7#11 |x |F#-7 |B7 |G#h7 |C#7b9 |F#-7 |G#7b9 |C#-7 |D#7#9 |G#^7 |G7 |F#7 |F7 ][*BG#^7 |Ao7 |A#-7 |D#7 |G#^7 |G#-7 |A#-7 |D#7 |B^7 |Co7 |C#-7 |F#7 |F#-7 |D-6 |F#7/C# |B7b9 ][*AE^7 |x |F#7#11 |x |F#-7 |B7 |G#h7 |C#7b9 |A^7 |A-6 |E^7/G# |C#-7 |F#7 |x |F^7 |x |F#7 |sF#-,B7,|lE6 |B7 Z        <original in E, G> "
"Detour Ahead","Herb Ellis","","Ballad","C","","","0","0","*A{T44C^7 F#7b9 |B7alt   |sF^,E-7,lA- |D7 sD-7,G7,|lG-7 C7 |F^7 Bb7 |C^7 A-7 |N1Ab7 G7 }            |N2F#h7 B7b9 ]*B[E-   |B7alt   |E^7   |F#h7 B7b9 |E-   |B7alt   |E^7   |Db7   ]*A[C^7 F#7b9 |B7alt   |sF^,E-7,lA- |D7 sD-7,G7,|lG-7 C7 |F^7 Bb7 |C^7 E7#9 |A-7 Eb7 |D7 G7 |C^7 G7#5 Z"
"Devil May Care","Dorough-Kirk","","Medium Up Swing","G-","","","0","0","[*AT44G- Eh7 |A7b5 D7b9 |G- Eh7 |A7b9 D7b9 |G-   |Eh7   |Eb9#11   |D7b9   |G- Eh7 |A7b9 D7b9 |G- G-7/F |Eo7 Bbo7 |Ah7   |D7b9#5   |G-   |ppDb9 ][*BC-7   |F7   |Bb6   |Dbo7   |C-7   |F7   |Bb Bb+ |Bb6 Bb^7 |Bb-7   |Eb7   |Ab^7   | x  |Ah7   |D7b9   |G^7   |Eb7 D7 ][*CG- Eh7 |A7b9 D7b9 |G- Eh7 |A7b9 D7b9 |G- G-7/F |Eh7   |Eb13#11   | x  |Ah7   |D7#9b5   |G-  (Eh7) | (A7b9)x (D7b9) Z "
"Dewey Square","Charlie Parker","","Medium Up Swing","Eb","","","0","0","*A{T44Eb^7   |Ab-7   |Eb7 Db7 |C7   |F7   |F-7 Bb7 |N1Eb^7 C7 |F-7 Bb7 }        |N2Eb^7   |Bb-7 Eb7 ]*B[Ab^7   |Ab-7 Db7 |Eb^7   |ppC7 |F7   | x  |F-7   |Bb7   ]*A[Eb^7   |Ab-7   |Eb7 Db7 |C7   |F7   |F-7 Bb7 |Eb^7 C7 |F-7 Bb7 Z"
"Dexterity","Charlie Parker","","Medium Up Swing","Bb","","","0","0","{*AT44Bb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |F-7 Bb7 |Eb^7 Ab7 |N1D-7 G7 |C-7 F7 }        |N2C-7 F7 |Bb6   ][*BD7   | x  |G7   | x  |C7   | x  |F7   | x  ][*ABb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |F-7 Bb7 |Eb^7 Ab7 |C-7 F7 |Bb6   Z "
"Diane","Rapee-pollack","","Medium Swing","Eb","","","0","0","[*AT44F-7   |Bb7   |Eb^7 Eb^7/D |C-7   |F-7   |Bb7   |Eb^7 Eb^7/D |G-7 C7 ][*BF-7   |Bb7   |Ah7   |D7b13   |G^7   |A-7 D7 |G^7 C7 |F-7 Bb7 ][*AF-7   |Bb7   |Eb^7 Eb^7/D |C-7   |F-7   |Bb7   |Eb^7 Eb^7/D |G-7 C7 ][*BF-7   |Bb7   |Ah7   |D7b13   |G-7 C7 |F-7 Bb7 |Eb   | x  Z "
"Dienda","Kenny Kirkland","","Waltz","C","","","0","0","[*iT34G-11, Fadd9/A |Gb^7#11   |G-11 Fadd9/A |F/Db |x ][*AF/G   |F/Db Bb-/Db |D-9   |G13#11   |Gb^9#11   |F-11   |Cadd9/E   |F/Eb   |D-11   |Bb^7/D   |A9sus   |F-9/Bb Bb/Gb |Bb/Gb,   |F-9 F-9/Eb |Dh7   |E/C C6 |C7alt,   [*BF-9   |Db13#11   |D-9,   |D-9/C   |Gb/Bb Bb- |F-11/Ab   |G-11   |Gb^7#11   |Bb^7#5/A   |Bb^7#11/D   |C/Ab   |Db^7  Q |G-11 Fadd9/A |Gb^7#11   |G-11 Fadd9/A |F/Db   | x  ]        Y{QG-11 Fadd9/A |Gb^7#11  |G-11 Fadd9/A |F/Db }fF/Db  Z "
"Dig","Miles Davis","","Up Tempo Swing","Ab","","","0","0","*A{T44F7   | x  | x  | x  |Bb7   | x  | x  | x  |N1Eb7   | x  | x  | x  |Ab^7   |Bb-7 Eb7 |Ab^7   |Gh7 C7b9 }|N2F-   |Gh7 C7b9 |F-   |Bb-7 Eb7 |Ab7 G7 |Gb7 F7 |Bb7 Eb7 |Ab6   Z"
"Dinah","Harry Akst","","Medium Up Swing","G","","","0","0","*A{T44G^7 E-7 |A-7 D7 |G^7 C^7 |G/B E-7 |A-7   |D7   |N1G6 Bbo7 |A-7 D7 }        |N2G6   |F#h7 B7b9 ]*B[E-   |E-/D#   |E-/D   |A7/C#   |E-7   |A7   |A-7   |D7   ]*A[G^7 E-7 |A-7 D7 |G^7 C^7 |G/B E-7 |A-7   |D7   |G6   |A-7 D7 Z"
"Dindi","Antonio-Carlos Jobim","","Bossa Nova","Eb","","","0","0","*v{T44Eb^7   |Db^7   |Eb^7   |Db^7   |C^7   |A-9   |D-9   |G13   }Y*A{Eb^7   |Db^7   |Eb^7   |Bb-7 Eb7 |Ab^7   |Ab-^7   |N1Eb6   |Bb-7   }        |N2Eb6   |Ah7 D7b9 ]*B[G-   |Eb-6   |G- Eb-6 |G-7 C7b9 |F-   |C#-6   |F- C#-6 |F-7 Bb7b9 ]*A[Eb^7   |Db^7   |Eb^7   |Bb-7 Eb7 |Ab^7   |Ab-^7   |Eb6   |Db7   Z"
"Diverse","Charlie Parker","","Up Tempo Swing","Bb-","","","0","0","{*AT44Bb-   |C-7 F7 |Bb-   |C-7 F7 |Bb-   |F7b9   |N1Bb-   |F7b9#9   }        |N2Bb-   | x  ][*BF-7   |Bb7   |Eb-   | x  |Eb-7   |Ab7   |Db^7   |F7b9   ][*ABb-   |C-7 F7 |Bb-   |C-7 F7 |Bb-   |F7b9   |Bb-   |F7b9   Z "
"Django","John Lewis","","Medium Swing","F-","","","0","0",",*v,[T44F-   |Bb-   |C7b9   |F-   |F7b9   |Bb-   |Eb7b9   |Ab6   |Db^7   |Gh7   |G7b9/F   |C7b13/E   ]{F-   |Bb-   |C7b9   |F-   }Y*A{F-7 Dh7 |G7b9 C7b9 |F7b9 Bb-7 |Eb7 Ab7 |N1Db7 G7b9 |C7b9   }N2Db7 C7b9 |F-6   ]*B[F7b9   |Bb-6/F   |F7b9   |Bb-6/F   |F7b9   |Bb-6/F   |F7b9 Bbo7/F |F7b9   ]*C[Bb-7 Gh7 |C7b9 F7b9 |Bb7 Eb-7 |Ab7 Db7 |Gb7 |x |Db7 |x |Gb7 |x |Db7 |C7b9 Z "
"Do Nothin' Til You Hear From Me","Duke Ellington","","Medium Swing","Bb","","","0","0","{*AT44Bb^7   |F-7 Bb7 |Eb^7   |Eb-7 Ab7#11 |Bb^7 G7#5 |C7 F7 |N1Bb^7   |C-7 F7 }        |N2Bb6   |Ab-7 Db7 ][*BGb^7   | x  | x  |Gb7   |Bb^7   |D-7 G7 |C7   |F7   ][*ABb^7   |F-7 Bb7 |Eb^7   |Eb-7 Ab7#11 |Bb^7 G7#5 |C7 F7 |Bb6   |C-7 F7 Z "
"Do You Know What It Means?","Louis Alter","","Medium Swing","C","","","0","0","*A{T44C^7 G7#5 |C^7 A-7 |E-7 A-7 |D7   |F6 F#o7 |C6/G A7b9 |N1D-7 Ab7 |G7   }        |N2D-7 G7 |C6   ]*B[lBb-7 Eb7 |Ab6 Ao7 |Bb-7 Eb7 |Ab6   |A-7 D7 |G^7 E-7 |A-7 D7 |D-7 G7#5 ]*A[C^7 G7#5 |C^7 A-7 |E-7 A-7 |D7   |F6 F#o7 |C6/G A7b9 |D-7 G7 |C6   Z "
"Dolores","Wayne Shorter","","Up Tempo Swing","Db","","","0","0","{*AT44D-7   |F-7 Bb7 |Eb^7   |A-7 D7 |G-7   |Ah7 D7#9 |Db^7   | x  }[*BG-7   |ppD7 |G-7   |ppD7 |G-7   |A7   ]        {*AD-7   |F-7 Bb7 |Eb^7   |A-7 D7 |G-7   |Ah7 D7#9 |Db^7   | x  } "
"Dolphin Dance","Herbie Hancock","","Medium Swing","Eb","","","0","0","[*iT44Eb^7   |Db^7/Eb   |Eb^7   |Dh7 G7b9 ][*AC-7   |Ab^7#11   |C-7   |A-7 D7 |G^7   |Ab-7   |F-7   |ppG7#5 |C-7   | x  |A-7   |D7   ][*BG^7   |G7sus   |A/G   |Eb^7#11/G   |F7sus   |D/F   |F7sus   |E-7 A7 ][*CEb7   |A-7 D7 |B-7   |E7 D-7 |C#-7   |F#7   [*DD^7/E |C^7/E |D^7/E |C^7/E |Db^7/Eb   |Bb13b9/Eb   |Ab^7#5/Eb   |G7#5   Z "
"Dolphin, The","Luiz Eca","","Bossa Nova","E","","","0","0","*i{T44F#^7   |G7#11  <3x> }F#^7   |E7   ]*A[A^7   |B7/A   |Ab7alt   |Db7alt   |C^7   | x  |F#h7   |B7b9   ]*B[E-7   |A7sus   |D^7   |F7b13   |Bb-9 Bb- |Bb-^7 Bb-7 |Bb-6   |A7b9#9   ]*C[D^7   |E-7 A7 |C#h7   |F#7b13   |Bh7   |E7b9   |D-7   |G7   |B-7   |E7b9sus   |C#h7   |F#7alt   |B7alt   |E7alt   *A[A^7   |B7/A   |G#7alt   |C#7alt   |F#7   |B7   |E^7   |C7/E   |E^7 |C7/E |B^7 |E^7 Z "
"Domingo","Benny Golson","","Up Tempo Swing","C-","","","0","0","{*AT44C-   | x  |G7/B   | x  |Bb-   | x  |F/A   |Ab-6   |C-   | x  |D7   |Dh7, G7b9,Q |N1C-   |Eb7   |Ab7   |G7b9   }|N2C-   |D-7   |Eb-7   |E-7 A7 ][*BF-7   |Bb7   |Eb^7   |Ab^7   |Ah7   |D7b9   |G-7 Ab7 |<D.C. al Coda>Dh7 G7b9 ]Y[QC-   Z "
"Don't Be That Way","Edgar Sampson","","Medium Swing","Eb","","","0","0","{*AT44Eb^7 C-7 |F-7 Bb7#5 |Eb^7 C-7 |F-7 Bb7#5 |Eb^7 C-7 |F-7 Bb9#5 |N1Eb^7 Gbo7 |F-7 Bb7#5 }        |N2Eb^7 Ab-6 |Eb^7   ][*BD7   |A-7 D7 |G9   |D-7 G9 |C9   |G-7 C9 |F9   |Bb7#5   ][*AEb^7 C-7 |F-7 Bb7#5 |Eb^7 C-7 |F-7 Bb7#5 |Eb^7 C-7 |F-7 Bb7#5 |Eb^7 Db9 |Eb^7 Bb7#5 Z "
"Don't Blame Me","Jimmy McHugh","","Ballad","C","","","0","0","*A{T44C^7 Eh7 |A9#5   |Dh7 G13b9 |C^7 A-7 |Dh7 G13b9 |Eh7 A7b13 |D-7 G7 |N1C^7 G7 }            |N2C6 C7 ]*B[F^7   |E7   |A-7 E7b13 |A-7   |D7 Eb7#11 |D7   |G7 Ab7#11 |G7   ]*A[C^7 Eh7 |A9#5   |Dh7 G13ZZ"
"Don't Explain","Billie Holiday","","Ballad","D-","","","0","0","*A{T44D-   |Eh7 A7b9 |D-   |Eh7 A7b9 |Eb7#11   |Db7#11 sG-7,C7,|lF^7   |Eh7 A7b9 }*B[D- G-7 |C7 F^7 |Bb^7 Eh7 |Bb7 A7b9 |D- G-7 |C7 F^7 |Bb^7 Eh7 |Bb7 A7b9 ]*A[D-   |Eh7 A7b9 |D-   |Eh7 A7b9 |Eb7#11   |Db7#11 sG-7,C7,|lF^7   |Eh7 A7b9 Z"
"Don't Fence Me In","Cole Porter","","Medium Swing","F","","","0","0","[*AT44F F^7 | x  |F sG-7,F,|lG-7 C7, |G-7 C7 | x  | x  |F^7 F6 ][,*B,F F^7 |F7 F7#5 |Bb6   |Bb^7 Eb9 |F C-7 |D7b9 Bb-6 |F C7b9 |F F7#5 ][,*C,Bb^7   |Bb^7 Bb6 |F   |F F7#5 |Bb^7   |Bb^7 Bb6 |F F#o7 |G-7 C7 ][,*D,F F^7 |F7 F7#5 |Bb6   |Bb^7 Eb9 |F C-7 |D7 Bb-6 |F C7b9, |F sG-7,C7,Z "
"Don't Get Around Much Anymore","Duke Ellington","","Medium Swing","C","","","0","0","*A{T44C^7 sD-7,Ebo,l|E-7   |C^7 sB7,Bb7,l|A7   |D-7   |G7   |N1C6   |G7   }        |N2C6   |G-7 C7 ]*B[F^7   |Bb7   |C^7   |C7   |F^7   |F#h7 B7b9 |E-7 Ebo7 |D-7 G7 ]*A[C^7 sD-7,Ebo,l|E-7   |C^7 sB7,Bb7,l|A7   |D-7   |G7   |C6   |G7   Z"
"Don't Go To Strangers","Kent-Mason-Evans","","Ballad","Bb","","","0","0","{*AT44Bb^7,   |Eb7,   |Bb^7,   |Dh7, G7, |C-7,   |F7,   |N1D-7, G7, |C-7, F7, }        |N2Bb^7, F7, |Bb^7   ]Y[*BF-7, Bb7, | x  |Eb^7, Bb7, |Eb^7,   |G-7, C7, | x  |C7,   |F7,   ]Y[*ABb^7,   |Eb7,   |Bb^7,   |Dh7, G7, |C-7,   |F7,   |Bb^7, F7, |Bb^7   Z "
"Don't Know Why","Jesse Harris","","Ballad","Bb","","","0","0","*i[T44Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb ]Y*A[Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb |Bb^7 Bb7 |Eb^9 D9 {G-7 C7 |F7sus Bb }*A{Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb |Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb ]*B[G-7   |C7   |F7   | x  |G-7   |C7   |F7 F7/Eb |Bb/D F7/C }*A{Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb |Bb^7 Bb7 |Eb^9 D9 |G-7 C7 |F7sus Bb }|G-7 C7 |F7sus sBb,Bb7/F,|lG-7 C7 |F7sus Bb Z "
"Don't Misunderstand","Gordon Parks","","Medium Swing","F","","","0","0","*A{T44F^7   |E7sus E7alt |Eb^7   |D7sus D7b9 |G7   |C7b9   |N1A-7 D7 |G7 C7b9 }        |N2F6 Bb7 |F6 sAh,D7]*B[lG-   |Eh7 A7b9 |D-   | x  |Bh7 Bb7 |A-7 Abo7 |G-7   |C7b9   ]*A[F^7   |E7sus E7alt |Eb^7   |D7sus D7b9 |G7   |C7b9   |F6   |G-7 C7b9 Z"
"Don't Take Your Love From Me","Henry Nemo","","Ballad","C","","","0","0","T44[*AC^7 D-7 |E-7 Ebo7 |G7/D G7 |D-7 G7 |D-7   |G7   |C^7   | x  ][,*B,C/E   |Ebo7   |D-7 A7 |D-7   |D-7 A7 |Ab7#11 G7 |E-7 Eb-7 |D-7 G7 ][,*A,C^7 D-7 |E-7 Ebo7 |G7/D G7 |D-7 G7 |D-7   |G7   |C^7 D-7 |D#o7 sC6/E,C7,][,*C,lF^7   |Bb7   |C^7   |Eh7 A7 |D-7   |G7   |C6   |D-7 G7 Z "
"Don't Worry 'Bout Me","Rube Bloom","","Ballad","Ab","","","0","0","*A[T44Bb-7   |Eb7   |Ab^7   | x  |Bb-7   |Eb7   |Ab6   |C-7 Bo7 |Bb-7   |Db-6   |Gb9   |Gb9 sGh,C7,l|F-7   |Bb7   |Bb-7   |Eb7   ]*B[Bb-7   |Eb7   |Ab^7   | x  |Ab^7   |Eb-7 Ab7 |Db^7   | x  |Db^7   |Gb9   |C-7   |F7   |Bb-7   |Eb7   |UAb6   |C-7 F7b9 Z"
"Donna Lee","Charlie Parker","","Up Tempo Swing","Ab","","","0","0","*A[T44Ab^7   |F7   |Bb7   | x  |Bb-7   |Eb7   |Ab^7   |Eb-7 Ab7 |Db^7   |Gb7   |Ab^7   |F7   |Bb7   | x  |Bb-7   |Eb7   ]*B[Ab^7   |F7   |Bb7   | x  |Gh7   |C7b9   |F-   |C7b9   |F-   |C7b9   |F-   |Bo7   |C-7 F7 |Bb-7 Eb7 |Ab^7   |Bb-7 Eb7 Z"
"Down By The Riverside","Traditional","","Medium Swing","F","","","0","0","T44[*AF   | x  | x  | x  |G-,   |C7   |F   | x  |F   | x  | x  | x  |G-,   |C7   |F,   | x  ][*BBb,   | x  |F,   | x  |C7   | x  |F,   |F7   |Bb,   | x  |F,   | x  |G-,   |C7   |F,   | x  Z "
"Down For Double","Freddie Green","","Medium Up Swing","Bb","","Jazz-Medium Up Swing","200","0","{*AT44Bb6 G7 |C7 F7 |Bb6 G7 |C7 F7 ||Bb6 G7 |C7 F7 |N1Bb6 G-7 |C-7 F7 }        |N2Bb6 C-7 |Dbo7 Bb6 ][*BBb7   | x  |Eb7   | x  |C7   | x  |F7   | x  ][*ABb6 G7 |C7 F7 |Bb6 G7 |C7 F7 ||Bb6 G7 |C7 F7 |Bb6  (C-7) | (Dbo7)x (Bb6) Z "
"Down In The Depths","Cole Porter","","Medium Swing","D","","","0","0","{,*A,D^7   |A7sus   |D^7   |A7sus   ||F#-7   |B-7   |E-7   |C9   |[E-7   |A7sus   |Eh7   | x  |A9   | x  |N1D^7   |Eh7/A   }        |N2D^7 E-7 |Fo7 D/F# ][,*B,A-7   |D7sus D7 |A-7   |D7sus D7, |F#h7   |F9   |E-7   |F#o7   |G#-7 C#7 |F#7   |F#-7 B7 |B-7 E7 |Eh7 Bb7 |A7b9   |D^7   |C9   |F#h7 C9 |B7b9   |E-7   |A7sus   |D^7   |A7sus   Z "
"Doxy","Sonny Rollins","","Medium Swing","Bb","","","0","0","[T44Bb7 A7(Eb7) |Ab7(D7) G7 |C7 F7 |Bb7   |Bb7 A7(Eb7) |Ab7(D7) G7 |C7   |F7   |Bb7   | x  |Eb7   |Eo7   |Bb7 A7(Eb7) |Ab7(D7) G7 |C7 F7 |Bb7 F7 Z"
"Dream","Johnny Mercer","","Slow Swing","Ab","","","0","0","[*AT44Ab   | x  |D-11   |G7#11,   |Ab6   | x  |F7   | x  ][*BDb(Bb-7)   |Gb13   |Ab^7   | x  |Bb7   | x  |Bb-7   |Eb13b9   ][*AAb   | x  |D-11   |G7#11,   |Ab6   | x  |F7   | x  ][*BDb(Bb-7)   |Gb13Xy  "
"Dream A Little Dream Of Me","Schwendt-Andre-Kahn","","Ballad","C","","","0","0","{*AT44C   |B7   |Ao7   |G7   |C   |B7   |A7   | x  |F   | x  |F-6   | x  |N1C   |Ab9   |G9   | x  }|N2C   |Ab9 G7 |C   |C  sEb7,]{*BlAb,   |F-,   |Bb-7,   |Eb7  <3x> }|Ab   | x  |Ab7   |G7   ][*AC   |B7   |Ao7   |G7   |C   |B7   |A7   | x  |F   | x  |F-6   | x  |C   |Ab9 G7 |C   |C,   Z "
"Dream Dancing","Cole Porter","","Medium Swing","C","","","0","0","*A{T44E7#5   | x  |A^7   |Eb7   |D-7   |G7   |C^7   |C7   |F^7   |F-6   |E-7   |A7   |Eb-7 Ab7 |D-7 G7 |C^7   | x  }*B[F^7   |Bb7   |C^7   |C^7 sEh,A7,|lD7   |Eb-7 Ab7 |D-7   |G7   ]*C[C^7 C^7/B |A-7 F-6/Ab |C^7/G sB7/F#,Bb7/F,|lE-7 A7 |Eb-7 Ab7 |D-7 G7 |Eb-7 Ab7 |D-7 G7 |Eb-7 Ab7 |D-7 G9sus |C6   | x  Z"
"Dreamsville","Henry Mancini","","Ballad","C","","","0","0","{*AT44C^7   |G-7/C   |C^7   |G-7  sF#7,|lC-7/F F7 |D-7 Eb-7 |N1E-7 A7 |D-7 G7 }        |N2D-7 Db7#11 |C^7   ][*BF#h7 B7b13 |E-7 A7 |F#-7   |C-7 F7 |G#h7 C#7b9 |F#h7 B7b9 |Eh7 A7b9 |D-7 G7 ][*AC^7   |G-7/C   |C^7   |G-7  sF#7,|lC-7/F F7 |D-7 Eb-7 |D-7 Db7#11 |C^7   Z "
"Driftin'","Herbie Hancock","","Medium Swing","Eb","","","0","0","{*AT44Eb7 G7 |Ab7 G7 |C-7 Bb-7 |Ah7 Ab7 |G-7   |C7   |N1F-7   |Bb7b9,   }        |N2F-7 Bb7 |Eb, A13#11, ][*BAb7   | x  |Eb7   | x (G7) |C-7(C-7) C-^7 |C-7(F7) F7 |F-7 l  |lBb7   ][*AEb7 G7 |Ab7 G7 |C-7 Bb-7 |Ah7 Ab7 |G-7   |C7   |F-7 Bb7,Q |Eb, Bb7 ZY   Q |Eb, C7 {F-7 <Vamp and fade>Bb7 |Eb7 C7 } "
"Duke, The","Dave Brubeck","","Medium Swing","C","","","0","0",",*A,{T44C^7 F^7 |sE-7,A-7,lB7 |E-7 A-7 |D-7 sF-7,Bb7|lEb^7 Db^7 |C-7 B-7 |sBb-7,Eb7,lAb^7 |sD7,Db7,lC^7 }*B[F^7 E7 |D7 C^7 |Bb-7 Ab^7 |G7b9 F-7 |sDh,G7,lC-7 |sCh,F7,lBb-7 |sAb/C,Bb-7,Ab6,Gh,|F-7,Ebsus,lDb7#11 ]*A,[C^7 F^7 |sE-7,A-7,lB7 |E-7 A-7 |D-7 sF-7,Bb7|lEb^7 Db^7 |C-7 B-7 |sBb-7,Eb7,lAb^7 |sD7,Db7,lC^7 Z "
"E.S.P.","Wayne Shorter","","Up Tempo Swing","F","","","0","0","{T44E7alt   | x  |F^7   | x  |E7alt   | x  |Eb^7#11   | x  |D7alt   |Eb7#11   |E7alt   |F^7 Eb^7 |N1D-7   |G7   |G-7   |Gb7   }|N2Db7#11   |G-7   |Db-7 Gb7 |F^7   Z"
"Early Autumn","Burns-Herman","","Ballad","C","","","0","0","*A{T44C^7   |B7b9   |Bb^7   |A7#9   |Ab^7   |G7#9   |N1C^7 A7#9 |D-7 G7 }        |N2C6   | x  ]*B[D-7 G7 |C^7/E Ebo7 |D-7 G7 |C^7   |C-7 F7 |Bb^7 Eb7 |sD^,Db7,C7,B7,|Bb7,A^,Ab7,G7,]*A[lC^7   |B7b9   |Bb^7   |A7#9   |Ab^7   |G7#9   |C6 A-7 |D-7 G7 Z"
"East Of The Sun","Brooks Bowman","","Medium Swing","G","","","0","0","*A[T44G^7   | (C7)x  |B-7   |E7   |A-7   | x  |C-7   |F7   ]*B[A-7   |D7   |F#h7 B7b13 |E-7   |E-7   |A7   |A-7   |D7   ]*A[G^7   | (C7)x  |B-7   |E7   |A-7   | x  |C-7   |F7   ]*C[A- A-7/G |F#h7 B7b9 |E-7   |A7   |A-7   |F7   |B-7   |Bb-7 Eb7 |A-7   |D7   |G6   | x  Z"
"Easy Living","Ralph Rainger","","Ballad","F","","","0","0","*A{T44F^7 F#o7 |G-7 G#o7 |F^7/A sC-7,F7,l|Bb^7 Eb7 |F^7 D-7 |N1G-7 C7 |A-7 D7 |G-7 C7 }    |N2G-7 C7 |F^7 Bb7 |Eb-7 Ab7 ]*B[Db^7 Bb-7 |Eb-7 Ab7 |F-7 Bb7 |Eb-7 Ab7 |Db^7 Db^7/C |Bb-7 Bb-7/Ab |Gh7   |C7   ]*A[F^7 F#o7 |G-7 G#o7 |F^7/A sC-7,F7,l|Bb^7 Eb7 |F^7 D-7 |G-7 C7 |F^7 D-7 |G-7 C7 Z"
"Easy Street","Alan Jones","","Medium Swing","Eb","","","0","0","{*AT44Eb^7 C7 |F-7 G7b13 |C-7 sBb-7,Eb7,|lAb-7 Bb7 |G-7 C7 |F-7 Bb7 |N1Eb^7 C-7 |F-7 Bb7 }        |N2Eb^7   |Bb-7 Eb7 ][*BAb^7   |Ab-7 Db7 |Eb^7   |Bb-7 Eb7 |Ab^7   |Ab-7 Db7 |Eb^7 F7 |F-7 Bb7#5 ][*AEb^7 C7 |F-7 G7b13 |C-7 sBb-7,Eb7,|lAb-7 Bb7 |G-7 C7 |B7 Bb7#5 |Eb^7 Ab7 |Eb6 sF-7,Bb7Z "
"Easy To Love","Cole Porter","","Medium Swing","G","","","0","0","*A[T44A-7   |Bh7 E7b9 |A-7   |D7   |G^7   |C^7   |B-7   |E7b9   ]*B[A-7   |D7   |G^7 C^7 |B-7 E7b9 |A-7   |D7   |G^7 C^7 |B-7 E7b9 ]*A[A-7   |Bh7 E7b9 |A-7   |D7   |G^7   |C^7   |B-7   |E7b9   ]*C[A-7   |F7   |G^7   |B-7 Bbo7 |A-7   |D7   |UG6   |B-7 E7b9 Z"
"Ecaroh","Horace Silver","","Medium Swing","Db","","","0","0","{*iBb7#9#5 Eb7#9 | x  | x  | x  |B7#9#5 E7#9 | x  | x  | x  |A^7   | x  |D7#11   | x  |Db^7   |D-7 G7#9#5 |C^7   |C-7 F7#9#5 |F#7#9 G7#9 |E7#9 F7#9 |sD7,Eb7,C7,Db7,|lBb7#9   |Bb7#9 B7#9 |Ab7#9 A7#9 |sF#7,G7,E7,F7,|lD7#9   }{*ASDb^7   |Gb7#11   |Db^7   |G7#11   |N1Gb^7   |G-7 C7 |F#-7 B7 |E^7 sEb-7,Ab7,}|N2lGb^7   |Fh7 Bb7#9#5 |Ebh7 Ab7#9#5 |<Fine>Db^7   ][*BAb-7   |Db7#9   |Gb^7 A7b5 |Bb7b5 Eb-7 |  "
"Eclypso","Tommy Flanagan","","Latin-Swing","Eb","","Jazz-Latin/Swing","160","0","{*AT44<*70  Latin>F-7, Bb7 |G-7, C-7 |F-7 Bb7 |Eb^7 G-7 ||F-7 Bb7 |G-7 C-7 |F-7/C Bb7 |N1Eb^7 C7 }            |N2Eb^7   ][*B<*72  Swing>Bb-7   |Eb7   |Ab^7   | x  |C-7   |F7   |F-7   |Bb7 C7 ][*A<*70  Latin>F-7, Bb7 |G-7 C-7 |F-7 Bb7 |Eb^7 G-7 ||F-7 Bb7 |G-7 C-7 |F-7/C Bb7 |Eb^7 C7 Z "
"Eiderdown","Steve Swallow","","Medium Swing","G-","","","0","0","T44{*AB7alt   | x  |E-7   | x  |C-7   | x  |G-7   | x  }[*BG-7 C7 | x  |F^7   | x  |F-7   |Bb7   |Eb^7   | x  ][*CEh7   |Eb-6   |D-7 G7#9 |G-7 C7 |F^7   |D-7   |G-7   |C7   ][*AB7alt   | x  |E-7   | x  |C-7   | x  |G-7   | x  Z "
"Eighty One","Ron Carter","","Even 8ths","F","","","0","0","[T44F7sus   |Bb7sus   |F7sus   | x  |Bb7sus   | x  |F7sus   | x  |C7sus   |Bb7sus   |F7sus(Db^7#11)   | x  Z"
"El Cajon","Johnny Mandel","","Bossa Nova","Eb","","Jazz-Bossa Nova","360","3","[*AT44G7 Db7 |C13   |F7sus   |F13   |F-7 B7 |Bb9 Bb7b9 |Eb7sus   |Eb13   ][*BN1Ab^7   |G7b9   |C7sus   |C7   |F7sus   |F13   |Bb7sus Bbo7 |Bb13 Ab9 }[*CN2Ab^   |G7b9   |C7sus   |C7b9   |F9 B9 |Bb13  Q |Eb^7   |Ab9   ]Y{QEb9 Db9 |C7b9   |F9 B9 |Bb7sus   }|Db13 D13 |fUEb13#11   ] "
"El Gaucho","Wayne Shorter","","Bossa Nova","F","","","0","0","[T44F^7   |Eb^7   |D-7 Bb7 |B7 E7#9#5 |F-7   |Gb^7   |F-7   |Gb^7 Eb^7 |Eb^7   | x  |C-7   |D-7 G7 |C-7   |D-7 E-7 |E-7   | x  |E-7   | x  Z"
