"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"A Flower Is A Lovesome Thing","Billy Strayhorn","","Ballad","Db","","","0","0","{*AT44B7#11   | x  | x  | x  |Bb7b13 Eb7 |Ab7b13 Db7 |D^7 sEb7,D^,|lDb6   }[*BEb-7 Ab7#5 |Db^7   |E-7 A7b9 |D^7   |G#h7 C#7#5 |D^7   |Ab7#11 G7#11 |Gb^7 Ab7#11 ][*AB7#11   | x  | x  | x  |Bb7b13 Eb7 |Ab7b13 Db7 |D^7 sEb7,D^,|lDb6   Z "
"A Foggy Day","George Gershwin","","Medium Swing","F","","","0","0","[*AT44F^7   |F#o7   |G-7   |C7   |F^7   |Dh7   |G7   |C7   ][*BF^7   |C-7 F7 |Bb^7   |Eb7   |A-7   |D7   |G7   |C7   ][*AF^7   |F#o7   |G-7   |C7   |F^7   |Dh7   |G7   |C7   ][*CC-7   |F7   |Bb^7   |Eb7   |F6 G-7 |A-7 Bb-6 |A-7 D7 |G-7 C7 |F6   |G-7 C7 Z "
"A Ghost Of A Chance","Victor Young","","Ballad","C","","","0","0","{*AT44C^7   |Db7#11   |G-7 C7 |F-7 Bb7 |E-7 Ebo7 |D-7 G7 |N1E7 A7 |D-7 G7 }        |N2C^7   |Eh7 A7b9 ][*BD-7   |G7#5   |C^7 G7 |C^7 A-7 |F#h7   |B7b9   |E-7 A7 |D-7 G7#5 ][*AC^7   |Db7#11   |G-7 C7 |F-7 Bb7 |E-7 Ebo7 |D-7 G7 |C^7 A-7 |D-7 G7 Z "
"A Kiss To Build A Dream On","Kalmar-Ruby-Hammerstein","","Medium Swing","C","","","0","0","{*AT44C^7, G+, |C^7, Ebo7, |G7, C#o7, |G7, C#o7, |G7, C#o7, |G7, sD-7,G7|N1lC^7,   |D7, G+ }        |N2C^7, D-7, |Ebo7, C^7/E ]Y[*BF-7, Bb7, |Eb^7, Eo7, |F-7, Bb7, |Eb^7,   |Dh7, G7, |C-7, C-7/Bb, |A-7, D7, |D-7, G7, ]Y[*AC^7, D-7, |E-7, Ebo7 |G7, C#o7, |G7, C#o7, |G7, C#o7, |G7, sD-7,G7|lC^7,   | x  Z "
"A Little Tear","Deodato-Valle","","Bossa Nova","Db","","","0","0","[*AT44Eb9,   |Eb-7,   |Db^7,   | x  |Eb-7,   | x  |Db^7,   |Bb7b9b5,   |Eb9,   |Eb-7,   |Db^7,   | x  |Eb-7,   | x  |Db^7,   | x  ]Y[*BF-9   | x  |Eb^7,   | x  |F-9,   | x  |B7sus,   |F^7,   |Eb9sus, Eb9, |Ab9sus, Ab9, |Fh7,   |Bb7b9sus, Bb7b9#5 |Eb-7,   |Ab9sus Ab9, |Db^7,   |Ab9sus   Z "
"A Lovely Way To Spend An Evening","Jimmy McHugh","","Ballad","F","","","0","0","{*AT44Bb^7   |G-7 C7 |A-7   |D-7   |G-7   |C7   |N1F^7   |C-7 F7 }        |N2F6   |C-7 F7 ][*BBb^7 Eb9 |A-7 D-7 |G-7 C7 |F^7   |Eh7 A7b9 |D-7   |G7   |C7 sC-7,F7][*AlBb^7   |G-7 C7 |A-7   |D-7   |G-7   |C7   |F^7   |C-7 F7 ] "
"A Night In Tunisia","Dizzy Gillespie","","Latin","D-","","","0","0","{*AT44Eb7   |D-   |Eb7   |D-   |Eb7   |D-   |Eh7 A7b9 |D-   }[*BAh7   |D7b9   |G-7   | x  |Gh7   |C7b9   |F^7   |Eh7 A7b9 ][*AEb7   |D-   |Eb7   |D-   |Eb7   |D-   |Eh7 A7b9 |D-  Q ZY[QEh7   | x  |Eb7#11   | x  |D-7   | x  |G7#11   | x  |G-^7   |G-7   |Gb7#9   | x  |F^7   | x  |Eh7   |A7b9   Z "
"A Nightingale Sang In Berkeley Square","Manning Sherwin","","Ballad","Eb","","","0","0","{*AT44Eb^7 C-7 |G-7 sBb-7,Eb7,|lAb^7 sDh,G7,|lC- Ab-6 |Eb^7/Bb F-7 |Eb^7/G sAb-7,Db7,|lEb^7 C-7 |F-7 Bb7 |Y|N1Eb^7 C-7 |F-7 Bb7 }N2Eb^7   |Ah7 D7 ][*BG^7 E-7 |A-7 D7 |B-7 Bbo7 |A-7 D7 |G^7 E-7 |A-7 D7 |B-7 E-7 |F-7 Bb7 ][*AEb^7 C-7 |G-7 sBb-7,Eb7,|lAb^7 sDh,G7,|lC- Ab-6 |Eb^7/Bb F-7 |Eb^7/G sAb-7,Db7,|lEb^7 C-7 |F-7 Bb7 |Eb^7 C-7 |F-7 Bb7 Z "
"A Pretty Girl Is Like A Melody","Irving Berlin","","Medium Swing","G","","","0","0","[*AT44A7 Bb13 |A7   |A-9   |D7   |F#/G G | x  |G^9   | x  |D-7 G7 |C6   |F9   |G^7   |A7   | x  |D9   |psC9,B7,Bb7][*BlA7 Bb13 |A7   |A-9   |D7   |F#/G G |D-7 G7 |C^7 E7/B |A-7   |C#-7 F#7 |B7   |B-7 E7 |A-7   |A-7 Eb13 |D7   |G6   |A-7 D7 Z "
"A Sleepin' Bee","Harold Arlen","","Medium Swing","Ab","","","0","0","[*AT44Ab^7 Eb7sus |Ab^7 Eb7sus |Ab^7 D7 |Db^7 Gb7sus |Ab^7 Db7 |C7 F7 |Bb-7 E7 |Eb7 Db7 ][*BC9 C7b9 |F13 F7b13 |Bb13 Bb7b13 |Eb9 Eb7b9 |Ab13 Ab7b13 |Db7   |sBb-7,C-7,Db6,Do,|lEb7sus Eb7 ][*AAb^7 Eb7sus |Ab^7 Eb7sus |Ab^7 D7 |Db^7 Gb7sus |Ab^7 Db7 |C7 F7 |Bb-7 E7 |Eb7 Db7 ][*CC9 C7b9 |F13 F7b13 |Bb13 Bb7b13 |Eb9 Eb7b9 |Ab^7 Db^7 |C7 F7 |Bb7 Eb7 |C7 F7 |Bb7   |Eb7sus Eb7 |UAb6 B^7 |E^7 A^7 Z "
